H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,GrayMean,GrayStd,Label,Path
0.0792236328125,0.1453857421875,0.00262451171875,0.0,0.0,0.0,0.0,0.0,0.0,0.00146484375,0.03570556640625,0.24884033203125,0.15704345703125,0.13739013671875,0.08319091796875,0.109130859375,0.81085205078125,0.0517578125,0.0333251953125,0.023681640625,0.010009765625,0.0096435546875,0.00830078125,0.00714111328125,0.009765625,0.0152587890625,0.01092529296875,0.00384521484375,0.00262451171875,0.0023193359375,0.00054931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042724609375,0.000732421875,0.00927734375,0.0400390625,0.5738525390625,0.36029052734375,0.015380859375,214.5513916015625,12.946056783709812,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana1066.jpg
0.00079345703125,0.1180419921875,0.8802490234375,0.00042724609375,0.0003662109375,0.0001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023681640625,0.01654052734375,0.01861572265625,0.0125732421875,0.01287841796875,0.0120849609375,0.0086669921875,0.0062255859375,0.00604248046875,0.00433349609375,0.00555419921875,0.00628662109375,0.00604248046875,0.00665283203125,0.01116943359375,0.8426513671875,0.0,0.0,0.0,0.0,0.0,0.0001220703125,6.103515625e-05,0.00048828125,0.00042724609375,0.00091552734375,0.0010986328125,0.00177001953125,0.00341796875,0.0208740234375,0.07666015625,0.8941650390625,208.31915283203125,13.181514650506791,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana151.jpg
0.5067138671875,0.0169677734375,0.01617431640625,0.16302490234375,0.24658203125,0.0303955078125,0.0087890625,0.00146484375,0.00555419921875,0.00042724609375,0.00103759765625,0.0,0.0,0.000732421875,0.00079345703125,0.0013427734375,0.568115234375,0.0230712890625,0.0196533203125,0.02496337890625,0.03509521484375,0.04150390625,0.05615234375,0.06805419921875,0.06341552734375,0.0478515625,0.02740478515625,0.01092529296875,0.00579833984375,0.00482177734375,0.00262451171875,0.00054931640625,0.0,0.0,0.000244140625,0.0013427734375,0.0020751953125,0.00469970703125,0.00836181640625,0.01031494140625,0.0164794921875,0.02398681640625,0.0472412109375,0.07025146484375,0.09161376953125,0.084228515625,0.08233642578125,0.55682373046875,216.91748046875,47.534515647386684,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana1339.jpg
0.00042724609375,0.0284423828125,0.3583984375,0.03875732421875,0.2274169921875,0.24554443359375,0.09259033203125,0.0084228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013427734375,0.00360107421875,0.02069091796875,0.052001953125,0.0836181640625,0.3167724609375,0.2777099609375,0.12750244140625,0.05950927734375,0.0302734375,0.01483154296875,0.00762939453125,0.00299072265625,0.00146484375,6.103515625e-05,0.0,0.0054931640625,0.14898681640625,0.32672119140625,0.09210205078125,0.023681640625,0.01483154296875,0.01165771484375,0.01171875,0.019775390625,0.02801513671875,0.0225830078125,0.0255126953125,0.04638671875,0.066650390625,0.1558837890625,106.54693603515625,78.34351857973904,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana110.jpg
0.0,0.0958251953125,0.25164794921875,0.0977783203125,0.55438232421875,0.0003662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103515625e-05,0.0003662109375,0.00079345703125,0.00518798828125,0.02301025390625,0.04595947265625,0.082275390625,0.1209716796875,0.1290283203125,0.11566162109375,0.11663818359375,0.17364501953125,0.1864013671875,0.00531005859375,0.02130126953125,0.029052734375,0.0216064453125,0.0428466796875,0.06231689453125,0.08392333984375,0.1202392578125,0.15936279296875,0.1123046875,0.0579833984375,0.0272216796875,0.02215576171875,0.03009033203125,0.04229736328125,0.1619873046875,118.57403564453125,54.295860037030806,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana1044.jpg
0.86505126953125,0.12353515625,0.0084228515625,0.0,0.000244140625,0.00146484375,0.0,0.0,0.00115966796875,0.0,6.103515625e-05,0.0,0.0,6.103515625e-05,0.0,0.0,0.85943603515625,0.0078125,0.00579833984375,0.00506591796875,0.00347900390625,0.00421142578125,0.00390625,0.006103515625,0.00604248046875,0.006591796875,0.04046630859375,0.0496826171875,0.00140380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103515625e-05,0.002197265625,0.0067138671875,0.01007080078125,0.00811767578125,0.01513671875,0.02911376953125,0.020263671875,0.01788330078125,0.01763916015625,0.872802734375,239.63311767578125,40.56320545896576,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana1384.jpg
0.58502197265625,0.03338623046875,0.35546875,0.01953125,0.0025634765625,0.00238037109375,6.103515625e-05,0.0,0.001220703125,0.0,0.00018310546875,0.0,6.103515625e-05,6.103515625e-05,0.0,6.103515625e-05,0.6390380859375,0.01483154296875,0.0111083984375,0.0086669921875,0.00970458984375,0.01531982421875,0.03582763671875,0.01849365234375,0.01409912109375,0.01312255859375,0.0133056640625,0.01239013671875,0.014892578125,0.01837158203125,0.0594482421875,0.10137939453125,0.0,0.0,0.0,0.0,0.0,0.0006103515625,0.000732421875,0.0015869140625,0.00201416015625,0.0030517578125,0.00482177734375,0.0054931640625,0.01031494140625,0.01373291015625,0.0230712890625,0.9345703125,236.35101318359375,28.723533932323676,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana1373.jpg
0.74884033203125,0.182861328125,0.05682373046875,0.00201416015625,0.0029296875,0.004638671875,0.0,0.0,0.00164794921875,0.0,0.0,0.0,0.0,0.000244140625,0.0,0.0,0.79290771484375,0.0086669921875,0.00714111328125,0.00799560546875,0.008544921875,0.0096435546875,0.0125732421875,0.01483154296875,0.013427734375,0.04681396484375,0.06231689453125,0.01361083984375,0.00152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225830078125,0.00689697265625,0.04217529296875,0.94866943359375,245.1793212890625,20.66217523584706,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana1042.jpg
0.71405029296875,0.00384521484375,0.24871826171875,0.0289306640625,0.001220703125,0.0013427734375,6.103515625e-05,0.0,0.00042724609375,0.0,0.00091552734375,0.0,0.0,0.00048828125,0.0,0.0,0.756591796875,0.01007080078125,0.006591796875,0.0057373046875,0.005126953125,0.00537109375,0.00592041015625,0.010498046875,0.0198974609375,0.06097412109375,0.08123779296875,0.03131103515625,0.00067138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001220703125,0.00030517578125,0.00042724609375,0.00115966796875,0.0025634765625,0.005615234375,0.0128173828125,0.028076171875,0.087646484375,0.0714111328125,0.033203125,0.75665283203125,238.23193359375,30.830481580789534,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana1109.jpg
0.67071533203125,0.0880126953125,0.23297119140625,0.0008544921875,0.0015869140625,0.002685546875,0.0,0.0,0.0003662109375,0.0,0.0001220703125,0.0,0.0,0.000244140625,0.00048828125,0.001953125,0.70135498046875,0.00848388671875,0.007080078125,0.00640869140625,0.005126953125,0.00921630859375,0.017822265625,0.0205078125,0.02838134765625,0.0296630859375,0.03485107421875,0.03802490234375,0.0400390625,0.04901123046875,0.0040283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030517578125,0.00103759765625,0.004638671875,0.0047607421875,0.00604248046875,0.00787353515625,0.010498046875,0.015380859375,0.032470703125,0.9169921875,238.90802001953125,28.58221717789379,1,/content/drive/MyDrive/Comvis - UTS KNN/Dataset Banana and Carrot/banana/banana1411.jpg
